scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
bidi	syscall	loopback	throughput_gbps	quicheperf	s2nperf	11.215272	5.444185	2.060046	2.034079	2.107543	win
bidi	syscall	loopback	throughput_gbps	quicheperf	tquicperf	11.215272	8.769929	1.278833	1.217387	1.303815	win
bidi	syscall	loopback	throughput_gbps	quicheperf	xquicperf	11.215272	2.399387	4.674225	4.627896	4.704621	win
bidi	syscall	loopback	throughput_gbps	quiczigperf	quinnperf	9.986950	4.154819	2.403703	2.400312	2.403849	win
bidi	syscall	loopback	throughput_gbps	quiczigperf	s2nperf	9.986950	5.444185	1.834425	1.813404	1.876720	win
bidi	syscall	loopback	throughput_gbps	quiczigperf	tquicperf	9.986950	8.769929	1.138772	1.085314	1.161018	win
bidi	syscall	loopback	throughput_gbps	quiczigperf	xquicperf	9.986950	2.399387	4.162293	4.125820	4.189360	win
bidi	syscall	loopback	throughput_gbps	quinnperf	s2nperf	4.154819	5.444185	0.763166	0.754437	0.781801	loss
bidi	syscall	loopback	throughput_gbps	quinnperf	tquicperf	4.154819	8.769929	0.473757	0.451527	0.483655	loss
bidi	syscall	loopback	throughput_gbps	quinnperf	xquicperf	4.154819	2.399387	1.731617	1.716480	1.745197	win
bidi	syscall	loopback	throughput_gbps	s2nperf	tquicperf	5.444185	8.769929	0.620779	0.578351	0.640190	loss
bidi	syscall	loopback	throughput_gbps	s2nperf	xquicperf	5.444185	2.399387	2.268990	2.198601	2.310030	win
bidi	syscall	loopback	throughput_gbps	tquicperf	xquicperf	8.769929	2.399387	3.655072	3.553913	3.859730	win
connect	iouring	loopback	connections_per_second	lsperf	mvfstperf	8885.626414	996.768018	8.914438	8.835351	9.255660	win
connect	iouring	loopback	connections_per_second	lsperf	neqoperf	8885.626414	836.283367	10.625138	10.625138	10.845571	win
connect	iouring	loopback	connections_per_second	lsperf	ngtcp2perf	8885.626414	9729.563602	0.913261	0.904330	0.923139	loss
connect	iouring	loopback	connections_per_second	lsperf	noqperf	8885.626414	6375.846019	1.393639	1.393639	1.412683	win
connect	iouring	loopback	connections_per_second	lsperf	picoperf	8885.626414	4276.360258	2.077848	2.076613	2.091100	win
connect	iouring	loopback	connections_per_second	lsperf	quicheperf	8885.626414	5748.916100	1.545618	1.519945	1.600218	win
connect	iouring	loopback	connections_per_second	lsperf	quiczigperf	8885.626414	3828.718324	2.320784	2.308146	2.360238	win
connect	iouring	loopback	connections_per_second	lsperf	quinnperf	8885.626414	6976.328106	1.273682	1.262279	1.310100	win
