binary	scenario	network	path_profile	tier	publication_eligible	status	reason	calibrated	workload_kind	selected_work_units	probe_work_units	target_duration_sec	calibration_duration_sec	timeout_sec	env_overrides
noqperf	loss_recovery	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.233812	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
noqperf	loss_recovery	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.224496	15	QUICPERF_LOSS_RECOVERY_TEST_BYTES=67108864
noqperf	multistream_download	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.232452	15	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
noqperf	multistream_download	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.305061	16	QUICPERF_MULTISTREAM_DOWNLOAD_TEST_BYTES=67108864
noqperf	multistream_upload	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.204534	15	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
noqperf	multistream_upload	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	bytes	67108864	16777216	5.000000	1.301295	16	QUICPERF_MULTISTREAM_UPLOAD_TEST_BYTES=67108864
noqperf	reqresp	iouring	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
noqperf	reqresp	syscall	loopback	lifecycle	0	ok	tier_smoke_no_calibration	0	operations	1024	0	5.000000	0.000000	30	
noqperf	resumed_connect	iouring	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
noqperf	resumed_connect	syscall	loopback	capability	0	ok	tier_smoke_no_calibration	0	fixed	1073741824	0	5.000000	0.000000	30	
noqperf	small_payload_pps	iouring	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.165938	15	QUICPERF_SCENARIO_OPERATIONS=4096
noqperf	small_payload_pps	syscall	loopback	publication	1	ok	too_fast_scaled_up;max_scale;validated_scale	1	operations	4096	1024	5.000000	1.212480	15	QUICPERF_SCENARIO_OPERATIONS=4096
