binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	discovery	20	2	2149.904164	1891.922203	1721.332697	insufficient_order_stat_support	2082.796125	2180.331004	0.045367	1962.707493	2266.983238	1.155029	converged	p80_p20_1.1550_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	2	pre_saturation	combined	20	2	2149.904164	1891.922203	1721.332697	insufficient_order_stat_support	2082.796125	2180.331004	0.045367	1962.707493	2266.983238	1.155029	converged	p80_p20_1.1550_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	discovery	20	2	2951.400072	2509.903603	1686.790512	insufficient_order_stat_support	2743.595043	2981.441814	0.080588	2611.980078	3032.554757	1.161018	converged	p50_ci_width_0.0806_gt_0.0500;p80_p20_1.1610_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	3	pre_saturation	combined	20	2	2951.400072	2509.903603	1686.790512	insufficient_order_stat_support	2743.595043	2981.441814	0.080588	2611.980078	3032.554757	1.161018	converged	p50_ci_width_0.0806_gt_0.0500;p80_p20_1.1610_gt_1.1500
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	discovery	20	2	3348.191243	2925.888928	2715.159634	insufficient_order_stat_support	2978.189151	3517.514858	0.161080	2969.059436	3659.834091	1.232658	converged	p50_ci_width_0.1611_gt_0.0500;p80_p20_1.2327_gt_1.1500;block_median_ratio_1.1811_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	4	pre_saturation	combined	20	2	3348.191243	2925.888928	2715.159634	insufficient_order_stat_support	2978.189151	3517.514858	0.161080	2969.059436	3659.834091	1.232658	converged	p50_ci_width_0.1611_gt_0.0500;p80_p20_1.2327_gt_1.1500;block_median_ratio_1.1811_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	discovery	20	2	3515.364734	2841.258602	2199.929917	insufficient_order_stat_support	3109.240311	3714.922051	0.172296	2958.301358	3912.536571	1.322562	converged	p50_ci_width_0.1723_gt_0.0500;p80_p20_1.3226_gt_1.1500;block_median_ratio_1.1948_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	5	pre_saturation	combined	20	2	3515.364734	2841.258602	2199.929917	insufficient_order_stat_support	3109.240311	3714.922051	0.172296	2958.301358	3912.536571	1.322562	converged	p50_ci_width_0.1723_gt_0.0500;p80_p20_1.3226_gt_1.1500;block_median_ratio_1.1948_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	discovery	20	2	3665.166806	3174.343645	2975.684320	insufficient_order_stat_support	3350.062060	3801.150991	0.123075	3262.463002	3938.959748	1.207358	converged	p50_ci_width_0.1231_gt_0.0500;p80_p20_1.2074_gt_1.1500;block_median_ratio_1.1347_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	6	pre_saturation	combined	20	2	3665.166806	3174.343645	2975.684320	insufficient_order_stat_support	3350.062060	3801.150991	0.123075	3262.463002	3938.959748	1.207358	converged	p50_ci_width_0.1231_gt_0.0500;p80_p20_1.2074_gt_1.1500;block_median_ratio_1.1347_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	selected_saturation	discovery	20	2	3752.906776	3332.961338	3305.136905	insufficient_order_stat_support	3463.606911	3945.519014	0.128410	3420.654612	3977.392659	1.162758	converged	p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	7	selected_saturation	combined	20	2	3752.906776	3332.961338	3305.136905	insufficient_order_stat_support	3463.606911	3945.519014	0.128410	3420.654612	3977.392659	1.162758	converged	p50_ci_width_0.1284_gt_0.0500;p80_p20_1.1628_gt_1.1500;block_median_ratio_1.1391_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	plateau_sentinel+post_selected	discovery	20	2	3606.154369	3094.782593	2784.380169	insufficient_order_stat_support	3489.624254	3909.305760	0.116379	3327.825358	3982.482929	1.196722	converged	p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	8	plateau_sentinel+post_selected	combined	20	2	3606.154369	3094.782593	2784.380169	insufficient_order_stat_support	3489.624254	3909.305760	0.116379	3327.825358	3982.482929	1.196722	converged	p50_ci_width_0.1164_gt_0.0500;p80_p20_1.1967_gt_1.1500;block_median_ratio_1.1203_gt_1.1000
lsperf	datagram	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	datagrams_per_second	1	baseline_1c1s+selected_saturation	discovery	20	2	1176187.963566	981012.096378	38300.280594	insufficient_order_stat_support	1176045.317111	1178465.306571	0.002057	1146287.926097	1269701.307916	1.107664	converged	outliers_2
