binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	flow_control	syscall	loopback	1	throughput_gbps	discovery	20	2	10.813879	10.761747	10.970903	0.019341	10.635322	11.612240	1.091856	10.596590	10.266336	insufficient_order_stat_support	0.016885	1.019435	0.000000	-0.058449	0	converged	
lsperf	flow_control	syscall	loopback	1	throughput_gbps	combined	20	2	10.813879	10.761747	10.970903	0.019341	10.635322	11.612240	1.091856	10.596590	10.266336	insufficient_order_stat_support	0.016885	1.019435	0.000000	-0.058449	0	converged	
lsperf	flow_control	syscall	loopback	2	throughput_gbps	discovery	20	2	3.941256	3.908546	4.245984	0.085617	3.616911	4.425673	1.223606	3.500579	3.489546	insufficient_order_stat_support	0.083338	1.086334	0.000000	-0.460241	0	converged	p50_ci_width_0.0856_gt_0.0500;p80_p20_1.2236_gt_1.1500
lsperf	flow_control	syscall	loopback	2	throughput_gbps	combined	20	2	3.941256	3.908546	4.245984	0.085617	3.616911	4.425673	1.223606	3.500579	3.489546	insufficient_order_stat_support	0.083338	1.086334	0.000000	-0.460241	0	converged	p50_ci_width_0.0856_gt_0.0500;p80_p20_1.2236_gt_1.1500
lsperf	idle_footprint	iouring	loopback	1	server_rss_delta_bytes_per_connection	discovery	2	1	184320.000000	151552.000000	217088.000000	0.355556	164659.200000	203980.800000	1.238806	210534.400000	216432.640000	insufficient_order_stat_support	0.177778	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2388_gt_1.1500
lsperf	idle_footprint	iouring	loopback	1	server_rss_delta_bytes_per_connection	combined	2	1	184320.000000	151552.000000	217088.000000	0.355556	164659.200000	203980.800000	1.238806	210534.400000	216432.640000	insufficient_order_stat_support	0.177778	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2388_gt_1.1500
lsperf	idle_footprint	syscall	loopback	1	server_rss_delta_bytes_per_connection	discovery	2	1	206848.000000	167936.000000	245760.000000	0.376238	183500.800000	230195.200000	1.254464	237977.600000	244981.760000	insufficient_order_stat_support	0.188119	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2545_gt_1.1500
lsperf	idle_footprint	syscall	loopback	1	server_rss_delta_bytes_per_connection	combined	2	1	206848.000000	167936.000000	245760.000000	0.376238	183500.800000	230195.200000	1.254464	237977.600000	244981.760000	insufficient_order_stat_support	0.188119	1.000000	0.000000	0.000000	0	not_ready	blocks_1_lt_2;samples_2_lt_20;p80_p20_1.2545_gt_1.1500
lsperf	loss_recovery	iouring	loopback	1	throughput_gbps	discovery	20	2	13.332645	13.042813	13.535058	0.036920	12.474441	14.158833	1.135027	12.348607	12.234433	insufficient_order_stat_support	0.053141	1.037741	0.000000	-0.533916	0	converged	
lsperf	loss_recovery	iouring	loopback	1	throughput_gbps	combined	20	2	13.332645	13.042813	13.535058	0.036920	12.474441	14.158833	1.135027	12.348607	12.234433	insufficient_order_stat_support	0.053141	1.037741	0.000000	-0.533916	0	converged	
