binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
neqoperf	loss_recovery	iouring	loopback	throughput_gbps	2	2	3	1.000000	5.232333	5.232333	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.00pct_le_1.00pct
neqoperf	loss_recovery	syscall	loopback	throughput_gbps	2	2	3	1.000000	5.285935	5.285935	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-7.26pct_le_1.00pct
neqoperf	multistream_download	iouring	loopback	throughput_gbps	2	2	3	1.000000	3.093055	3.093055	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-15.06pct_le_1.00pct
neqoperf	multistream_download	syscall	loopback	throughput_gbps	2	2	3	1.000000	3.053791	3.053791	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-14.05pct_le_1.00pct
neqoperf	multistream_upload	iouring	loopback	throughput_gbps	3	3	4	1.000000	2.583587	2.583587	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-15.75pct_le_1.00pct
neqoperf	multistream_upload	syscall	loopback	throughput_gbps	3	3	4	1.000000	2.636475	2.636475	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-14.69pct_le_1.00pct
neqoperf	reqresp	iouring	loopback	requests_per_second	1	1	1	1.000000	17529.130849	17529.130849	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	reqresp	syscall	loopback	requests_per_second	1	1	1	1.000000	20085.467604	20085.467604	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	resumed_connect	iouring	loopback	connections_per_second	1	1	1	1.000000	518.099587	518.099587	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
neqoperf	resumed_connect	syscall	loopback	connections_per_second	1	1	1	1.000000	454.767781	454.767781	1.000000	1.000000	1.000000	0	tier_smoke	converged	capability_tier_smoke_only
neqoperf	small_payload_pps	iouring	loopback	messages_per_second	4	4	5	1.000000	14627.670038	14627.670038	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-7.75pct_le_1.00pct
neqoperf	small_payload_pps	syscall	loopback	messages_per_second	3	3	4	1.000000	15497.978097	15497.978097	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-6.20pct_le_1.00pct
neqoperf	stream_churn	iouring	loopback	streams_per_second	1	1	1	1.000000	18872.437974	18872.437974	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	stream_churn	syscall	loopback	streams_per_second	1	1	1	1.000000	17714.282624	17714.282624	1.000000	1.000000	1.000000	0	tier_smoke	converged	lifecycle_tier_smoke_only
neqoperf	upload	iouring	loopback	throughput_gbps	1	1	2	1.000000	4.025776	4.025776	1.000000	1.000000	1.000000	1	ok	converged	incremental_improvement_-38.27pct_le_1.00pct
