logical_trial_id	planned_trial_id	committed_trial_id	session	planned_microblock_id	cell_id	server	reference_client	server_backend	scenario	path_profile	outcome	validity_reasons
0c38fd013da52bdff02894f76d2ca40c50d11b69014fadb09a6c477307faa72f	ca2a572cc927903f4d9d3be38f6477950f5f6da607dca7ea53bacd7eddbcc615	ca2a572cc927903f4d9d3be38f6477950f5f6da607dca7ea53bacd7eddbcc615	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	681dd5bcc8aed2320be0b04515d03541960ebc7f46242d144a9fe23b55930c81	noqperf	picoperf	iouring	download	loopback	valid	
fb9d47cfcf3d6842406961bddb1ccdb2a4190ba3d50831985be726da45a6a2a7	db5f8f7e408161b1c87d805e998f5cdcefd77d2ddf81abff6b85d42037c4de5e	db5f8f7e408161b1c87d805e998f5cdcefd77d2ddf81abff6b85d42037c4de5e	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	ed1993b12d66c45d756e551ef7b1b6368910eff6dcea51c94da25cd9ca054e5a	quicheperf	picoperf	iouring	download	loopback	valid	
db550f3b1648ad72e3a4259d37ffce749d9e44de1e4e01c0e87af3ad4970b546	bc1294715bdf963bd3167d8cd1715fe48534dc895dbb2679ca7e6ff7d887be7b	bc1294715bdf963bd3167d8cd1715fe48534dc895dbb2679ca7e6ff7d887be7b	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	b41a093da277f0d082ffe3dd6fc0fe6cbebb829883835c81a76c97c5235fe412	quiczigperf	picoperf	iouring	download	loopback	valid	
4512e43dea21e7673fff88fb45d15e04384020f93c175eb40811d2994d29f2cf	3312479957d71f185186168b82579060337daf2ac38e92857e193f6887fe6892	3312479957d71f185186168b82579060337daf2ac38e92857e193f6887fe6892	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	275157c42bd5dc87a86fe99d77052932cba8668feb7114505b8f73ce45a882af	tquicperf	picoperf	iouring	download	loopback	valid	
a2ec17d45ab2b8efcbbbf688c13d9d21f02f94ba9d3cd8f582411787c8ebb6a1	51db6ff38238343b8a8a7ef018e4b773db33a218220eeea7a0aa04db3f50c473	51db6ff38238343b8a8a7ef018e4b773db33a218220eeea7a0aa04db3f50c473	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	5ac34471c5b446cdeb7004d8c07800dadd22b5e487673d8b509b52d15482ff2d	mvfstperf	picoperf	iouring	download	loopback	valid	
23305deee87eef8e80d2348197a1adc201577853b48e0a547f4ecba7330f321c	1e7ecb9771d06b8032f3f673b320a1245a131c987580ff4ce57f8eee48ec6359	1e7ecb9771d06b8032f3f673b320a1245a131c987580ff4ce57f8eee48ec6359	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	7f985f358ca0dba17e6ff36fcdd132e8e1dc70e0ba370dd3c26533baf8095789	lsperf	picoperf	iouring	download	loopback	valid	
b28b60d9ea7c0c8c6853c221329ee9e444e5a1578affb3848f48d7f6163c373d	22704963f86e07e8312b4e62f99adab2611379a6438fcc942ab66b4fe8b67231	22704963f86e07e8312b4e62f99adab2611379a6438fcc942ab66b4fe8b67231	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	5fa0aa045a59d9372b67c29f3a1ebec595420d8a7a87c0e74e7cc086f1d74604	ngtcp2perf	picoperf	iouring	download	loopback	valid	
25f956fb77481d85aec68564f3920fcabe8d71ed04d1e425073d9dcc3e4209f7	400ea2fd3f71358652d2afea896c3ccdd93ce5dd94d67c26ed33e3378e58d693	400ea2fd3f71358652d2afea896c3ccdd93ce5dd94d67c26ed33e3378e58d693	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	8ecfa758cb8d459f6f57f214305a74b5cab3a779579677f964c140c54567baab	neqoperf	ngtcp2perf	iouring	download	loopback	valid	
024d62b543a293011e7a6c88989029a8301b90e6de3deb17da61ac334bc010bf	57cf384f5802674e6ddf3d362038f0ac24f3ee23c277af450c4377eba9add291	57cf384f5802674e6ddf3d362038f0ac24f3ee23c277af450c4377eba9add291	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	818d8c9934b5529db50a46cc3b43d469ea5dadacf900e5f8e440f52153934e17	noqperf	ngtcp2perf	iouring	download	loopback	valid	
c8a0b8172a47ac09612850a4d79d38fb7141815ae5b363ec71da6b85c605039d	88067876e724ce44428b5a2bfac3fdc2185b68ae31e3d3adcc53cbcc0767cb0d	88067876e724ce44428b5a2bfac3fdc2185b68ae31e3d3adcc53cbcc0767cb0d	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	95631a0f7dffe8870b3a06d495ad0719b0cea5d0a939faeaacd89f42b1b65d59	s2nperf	ngtcp2perf	iouring	download	loopback	valid	
5dfe493f41a903e31ad703bcc044e868c7eda29d68b666edbb49cf5bc186a2b9	71eacff8fa62fda77588ca7b16f675d00926238dfb8ec8aa0fc131b249d64d9f	71eacff8fa62fda77588ca7b16f675d00926238dfb8ec8aa0fc131b249d64d9f	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	27305180f6540e3060c195676c5b6e6599124ea210462c98d8af69a210632f39	quiczigperf	ngtcp2perf	iouring	download	loopback	valid	
10a70d4c601a2f07c0630e650b4bd3591641fda41297a44a8738e73cad144dcb	09dcee8ab473d51c6056dcb45952b8629cd774c7cd05d5ed7082cd5778ac5904	09dcee8ab473d51c6056dcb45952b8629cd774c7cd05d5ed7082cd5778ac5904	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	05d2f02b3c012afb6172c1ffe18c26a72c574d00b1ed4eee47e9a6498c5fce57	quinnperf	ngtcp2perf	iouring	download	loopback	valid	
323188c26732252675d6327257f98ac6a1f1b688f307576963a35e21db54f446	b78c68695cb53df91f46d8256da6d47db35f3549250e39fa1d975b5c29157541	b78c68695cb53df91f46d8256da6d47db35f3549250e39fa1d975b5c29157541	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	e1cc24bd498746b2a5d38652ba7e58ddcb8a80e8b2103655825610ae13c8ffd3	mvfstperf	ngtcp2perf	iouring	download	loopback	valid	
1f554d2e5a02ecb9d1b0307027b85698fa7d66b043864405c059c63019bec3d4	fcc64270110e0206ddb303e7ef626203fef5d7a5d27f44e5c91ebc9384a506ac	fcc64270110e0206ddb303e7ef626203fef5d7a5d27f44e5c91ebc9384a506ac	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	4d6e929796a44a99d01317024cd07810ebdceafca8605a6f97b07e97a1bd8f54	xquicperf	ngtcp2perf	iouring	download	loopback	valid	
b06044bcc2178074801cbbc3b5f8e35572c19512f2f44be0c5d7986f2798780c	0af85cd4b474a2875fcf6d61a7fb68dc33e35634e59cff3ee9f5a2ceba8062f1	0af85cd4b474a2875fcf6d61a7fb68dc33e35634e59cff3ee9f5a2ceba8062f1	1	5e8f90edf8d31dd2be6639467644e918392bc42909da4f374a5e394f68da35d5	bee0d98539c8bb194dfa8492ba089f4f4e01a25766f2bad57fe468de7aeebb97	ngtcp2perf	ngtcp2perf	iouring	download	loopback	valid	
