estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	quinnperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	425311692.57236862	complete	
fixed_treatment_server	quinnperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	102410612.72857869	complete	
fixed_treatment_server	quinnperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	369752994.05441904	complete	
fixed_treatment_server	quinnperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	170933210.8878952	complete	
fixed_treatment_server	quinnperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	17736.820040840488	complete	
fixed_treatment_server	quinnperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	453.39786392197999	complete	
fixed_treatment_server	quinnperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	61659.414525019594	complete	
fixed_treatment_server	quinnperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	16294.787610790341	complete	
fixed_treatment_server	quinnperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	375299121.99102503	complete	
fixed_treatment_server	quinnperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	385.02764007547165	complete	
fixed_treatment_server	s2nperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1125439911.7472563	complete	
fixed_treatment_server	s2nperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1212.2146167497431	complete	
fixed_treatment_server	s2nperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4456.4111548477631	complete	
fixed_treatment_server	s2nperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	128349.47516788321	complete	
fixed_treatment_server	s2nperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1184314125.7283857	complete	
fixed_treatment_server	s2nperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	574207355.94864058	complete	
fixed_treatment_server	s2nperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	90074854.690022215	complete	
fixed_treatment_server	s2nperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	515159974.39734477	complete	
fixed_treatment_server	s2nperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	235035293.64941338	complete	
fixed_treatment_server	s2nperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	17341.570898200662	complete	
fixed_treatment_server	s2nperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	4657.90287663445	complete	
fixed_treatment_server	s2nperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	77511.336062401315	complete	
fixed_treatment_server	s2nperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	17948.020501426621	complete	
