binary	scenario	network	path_profile	adapter_features	congestion_controller	measurement_status	audit_status	publication_status	metric	selected_threads	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p90	p99	p99_status	reason
neqoperf	zero_rtt_reqresp	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	10783.250000	10748.500000	10852.500000	0.009645	10625.600000	10514.900000	insufficient_order_stat_support	
neqoperf	datagram	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	datagrams_per_second	2	duration	2000		20	5	1996134.750000	1977505.500000	2025571.000000	0.024079	1911508.200000	1895729.670000	insufficient_order_stat_support	
neqoperf	datagram	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	datagrams_per_second	2	duration	2000		20	5	1860976.250000	1832561.750000	1886103.500000	0.028771	1810892.300000	1745771.405000	insufficient_order_stat_support	
neqoperf	idle_footprint	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	server_rss_delta_bytes_per_connection	16	work			20	5	347264.000000	347264.000000	350592.000000	0.009583	357196.800000	360606.720000	insufficient_order_stat_support	
neqoperf	idle_footprint	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	server_rss_delta_bytes_per_connection	16	work			20	5	372480.000000	371072.000000	378368.000000	0.019588	383027.200000	384732.160000	insufficient_order_stat_support	
neqoperf	close_reset_cleanup	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	12233.500000	12204.250000	12236.000000	0.002595	12082.350000	12039.510000	insufficient_order_stat_support	
neqoperf	close_reset_cleanup	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	12303.750000	12270.500000	12314.500000	0.003576	12170.000000	12145.160000	insufficient_order_stat_support	
lsperf	download	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	throughput_gbps	1	duration	2000		20	5	16.445613	15.924135	16.719844	0.048384	15.001706	14.476757	insufficient_order_stat_support	p50_ci_width_0.0484_gt_0.0300;drift_0.0408_gt_0.0300
lsperf	download	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	throughput_gbps	1	duration	2000		20	5	15.026128	14.674546	15.376202	0.046696	13.596694	13.302893	insufficient_order_stat_support	p50_ci_width_0.0467_gt_0.0300
lsperf	upload	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	throughput_gbps	2	duration	2000		20	5	33.494600	30.659501	33.741562	0.092017	29.499075	28.286031	insufficient_order_stat_support	p50_ci_width_0.0920_gt_0.0300;block_median_ratio_1.1548_gt_1.1000;drift_0.0755_gt_0.0300
lsperf	upload	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	23.576319	23.375757	24.078976	0.029827	22.949992	21.832898	insufficient_order_stat_support	
lsperf	connect	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	noisy	inconclusive	connections_per_second	16	work		8	20	5	291.758599	285.243571	312.489930	0.093387	274.139470	265.637130	insufficient_order_stat_support	p50_ci_width_0.0934_gt_0.0500;block_median_ratio_1.1209_gt_1.1000
lsperf	connect	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		8	20	5	262.974003	259.706758	265.333403	0.021396	249.035301	241.402702	insufficient_order_stat_support	
lsperf	reqresp	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	16	duration	2000		20	5	119404.250000	117874.000000	121154.500000	0.027474	116795.350000	114151.375000	insufficient_order_stat_support	
lsperf	reqresp	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	16	duration	2000		20	5	69022.750000	68021.500000	69936.000000	0.027737	67476.800000	67092.635000	insufficient_order_stat_support	
lsperf	stream_churn	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	16	duration	2000		20	5	115554.000000	114074.000000	117696.000000	0.031345	109615.600000	108647.200000	insufficient_order_stat_support	
lsperf	stream_churn	iouring	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	16	duration	2000		20	5	69856.000000	69644.000000	69964.000000	0.004581	69435.600000	69402.840000	insufficient_order_stat_support	
lsperf	multistream_download	syscall	loopback	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	16	duration	2000		20	5	1.543504	1.543504	1.543504	0.000000	1.543504	1.543504	insufficient_order_stat_support	
